round,test_acc,test_loss,asr,asr_loss,round_time,active_clients,stragglers,dropouts,communication_cost_kb,energy_consumption_mj,anomaly_score,reputation_score,rejection_ratio
87,0.9242999999999075,0.2184237675815602,,,209.42283606529236,90,,,24469.0078125,907.894921875,0.029600207931098355,0.9368999999999061,0.0275982706568393
88,0.930099999999907,0.20896268240211305,,,215.63757610321045,90,,,23948.390625,872.8640625,0.018430248582063297,0.9367199999999063,0.017183764040597325
89,0.9141999999999085,0.23743483894166956,,,209.47971153259277,90,,,24816.0859375,931.248828125,0.03014585253327784,0.928899999999907,0.02810701192813192
90,0.9123999999999087,0.23791047480998043,,,217.28662490844727,90,,,22733.6171875,791.125390625,0.018950333679614545,0.9231799999999076,0.017668674461504472
91,0.9471999999999052,0.17208045164344973,,,221.84698843955994,90,,,28633.9453125,1188.141796875,0.04288199143230484,0.9256399999999074,0.03998177339185667
92,0.9257999999999074,0.2078611697524578,,,210.81380558013916,90,,,28633.9453125,1188.141796875,0.004988753757476289,0.9259399999999074,0.004651351664813992
93,0.9353999999999064,0.20482664226291514,,,218.1578049659729,90,,,28460.40625,1176.46484375,0.007196073219179394,0.9269999999999072,0.006709384502691111
94,0.8916999999999108,0.29671878312525163,,,211.33194017410278,90,,,28633.9453125,1188.141796875,0.07283927880644067,0.9224999999999076,0.06791297330168909
95,0.9359999999999064,0.19849900270996493,,,212.5522780418396,90,,,28113.328125,1153.1109375,0.0174982071888429,0.9272199999999072,0.01631475897504677
96,0.9431999999999057,0.17408459658322978,,,218.92718505859375,90,,,28286.8671875,1164.787890625,0.042313442303534066,0.9264199999999073,0.03945167668530479
97,0.9566999999999043,0.1427626240283108,,,207.57657718658447,90,,,29675.1796875,1258.2035156250001,0.06061570571362368,0.9325999999999066,0.05651611151630961
98,0.9605999999999039,0.13358400333522413,,,211.96926498413086,90,,,29154.5625,1223.17265625,0.05554579862117209,0.9376399999999062,0.051789095122769156
99,0.9604999999999039,0.13019382007865796,,,218.47199726104736,90,,,28633.9453125,1188.141796875,0.025630989268419557,0.9513999999999048,0.02389750033780045
100,0.9531999999999047,0.15438111418335085,,,207.83957767486572,90,,,29154.5625,1223.17265625,0.007379882541596133,0.9548399999999045,0.006880762333587286
